    T(K)        P(bar)        D(mol/L)
    170.0000    0.1789E+02    0.4110E+01
    170.7215    0.1832E+02    0.4109E+01
    171.4438    0.1876E+02    0.4108E+01
    172.1668    0.1920E+02    0.4107E+01
    172.8906    0.1966E+02    0.4106E+01
    173.6150    0.2012E+02    0.4106E+01
    174.3401    0.2059E+02    0.4105E+01
    175.0657    0.2107E+02    0.4104E+01
    175.7918    0.2155E+02    0.4103E+01
    176.5184    0.2205E+02    0.4102E+01
    177.2455    0.2255E+02    0.4101E+01
    177.9729    0.2305E+02    0.4101E+01
    178.7007    0.2357E+02    0.4100E+01
    179.4288    0.2410E+02    0.4099E+01
    180.1572    0.2463E+02    0.4098E+01
    180.8859    0.2517E+02    0.4097E+01
    181.6148    0.2572E+02    0.4096E+01
    182.3438    0.2628E+02    0.4096E+01
    183.0731    0.2684E+02    0.4095E+01
    183.8025    0.2741E+02    0.4094E+01
    184.5320    0.2799E+02    0.4093E+01
    185.2617    0.2858E+02    0.4092E+01
    185.9916    0.2918E+02    0.4091E+01
    186.7215    0.2979E+02    0.4090E+01
    187.4516    0.3040E+02    0.4090E+01
    188.1819    0.3102E+02    0.4089E+01
    188.9123    0.3165E+02    0.4088E+01
    189.6430    0.3229E+02    0.4087E+01
    190.3739    0.3294E+02    0.4086E+01
    191.1051    0.3360E+02    0.4085E+01
    191.8366    0.3426E+02    0.4084E+01
    192.5686    0.3494E+02    0.4084E+01
    193.3010    0.3562E+02    0.4083E+01
    194.0340    0.3631E+02    0.4082E+01
    194.7677    0.3701E+02    0.4081E+01
    195.5022    0.3772E+02    0.4080E+01
    196.2376    0.3844E+02    0.4079E+01
    196.9741    0.3916E+02    0.4078E+01
    197.7118    0.3990E+02    0.4078E+01
    198.4509    0.4065E+02    0.4077E+01
    199.1915    0.4140E+02    0.4076E+01
    199.9340    0.4217E+02    0.4075E+01
    200.6784    0.4294E+02    0.4074E+01
    201.4252    0.4373E+02    0.4073E+01
    202.1745    0.4453E+02    0.4072E+01
    202.9266    0.4534E+02    0.4071E+01
    203.6819    0.4615E+02    0.4070E+01
    204.4407    0.4699E+02    0.4070E+01
    205.2033    0.4783E+02    0.4069E+01
    205.9703    0.4868E+02    0.4068E+01
    206.7419    0.4955E+02    0.4067E+01
    207.5187    0.5043E+02    0.4066E+01
    208.3012    0.5133E+02    0.4065E+01
    209.0898    0.5224E+02    0.4064E+01
    209.8851    0.5316E+02    0.4063E+01
    210.6878    0.5410E+02    0.4062E+01
    211.4984    0.5506E+02    0.4061E+01
    212.3175    0.5603E+02    0.4060E+01
    213.1460    0.5702E+02    0.4059E+01
    213.9844    0.5803E+02    0.4058E+01
    214.8336    0.5905E+02    0.4057E+01
    215.6944    0.6010E+02    0.4056E+01
    216.5676    0.6117E+02    0.4055E+01
    217.4540    0.6226E+02    0.4054E+01
    218.3547    0.6337E+02    0.4053E+01
    219.2704    0.6451E+02    0.4052E+01
    220.2022    0.6567E+02    0.4051E+01
    221.1511    0.6685E+02    0.4049E+01
    222.1180    0.6806E+02    0.4048E+01
    223.1042    0.6931E+02    0.4047E+01
    224.1106    0.7057E+02    0.4046E+01
    225.1383    0.7187E+02    0.4045E+01
    226.1885    0.7320E+02    0.4043E+01
    227.2622    0.7456E+02    0.4042E+01
    228.3607    0.7595E+02    0.4041E+01
    229.4851    0.7738E+02    0.4039E+01
    230.6365    0.7884E+02    0.4038E+01
    231.8161    0.8034E+02    0.4036E+01
    233.0251    0.8187E+02    0.4035E+01
    234.2646    0.8344E+02    0.4033E+01
    235.5358    0.8504E+02    0.4032E+01
    236.8397    0.8668E+02    0.4030E+01
    238.1776    0.8836E+02    0.4029E+01
    239.5505    0.9008E+02    0.4027E+01
    240.9595    0.9184E+02    0.4025E+01
    242.4056    0.9363E+02    0.4023E+01
    243.8900    0.9547E+02    0.4022E+01
    245.4135    0.9734E+02    0.4020E+01
    246.9773    0.9925E+02    0.4018E+01
    248.5822    0.1012E+03    0.4016E+01
    250.2293    0.1032E+03    0.4014E+01
    251.9194    0.1052E+03    0.4011E+01
    253.6534    0.1073E+03    0.4009E+01
    255.4322    0.1094E+03    0.4007E+01
    257.2567    0.1115E+03    0.4005E+01
    259.1277    0.1137E+03    0.4002E+01
    261.0460    0.1159E+03    0.4000E+01
    263.0125    0.1181E+03    0.3997E+01
    265.0279    0.1203E+03    0.3994E+01
    267.0930    0.1226E+03    0.3992E+01
    269.2086    0.1250E+03    0.3989E+01
    271.3755    0.1273E+03    0.3986E+01
    273.5944    0.1297E+03    0.3983E+01
    275.8662    0.1321E+03    0.3980E+01
    278.1916    0.1345E+03    0.3977E+01
    280.5714    0.1369E+03    0.3974E+01
    283.0064    0.1393E+03    0.3970E+01
    285.4975    0.1418E+03    0.3967E+01
    288.0454    0.1443E+03    0.3963E+01
    290.6510    0.1468E+03    0.3960E+01
    293.3151    0.1493E+03    0.3956E+01
    296.0387    0.1518E+03    0.3952E+01
    298.8226    0.1543E+03    0.3948E+01
    301.6677    0.1568E+03    0.3944E+01
    304.5750    0.1594E+03    0.3940E+01
    307.5455    0.1619E+03    0.3936E+01
    310.5802    0.1644E+03    0.3931E+01
    313.6800    0.1669E+03    0.3927E+01
    316.8460    0.1694E+03    0.3922E+01
    320.0794    0.1719E+03    0.3917E+01
    323.3811    0.1744E+03    0.3912E+01
    326.7524    0.1769E+03    0.3907E+01
    330.1943    0.1793E+03    0.3902E+01
    333.7081    0.1817E+03    0.3896E+01
    337.2950    0.1842E+03    0.3891E+01
    340.9561    0.1865E+03    0.3885E+01
    344.6927    0.1889E+03    0.3879E+01
    348.5060    0.1912E+03    0.3873E+01
    352.3974    0.1935E+03    0.3867E+01
    356.3681    0.1957E+03    0.3860E+01
    360.4194    0.1979E+03    0.3853E+01
    364.5526    0.2001E+03    0.3846E+01
    368.7690    0.2022E+03    0.3839E+01
    373.0699    0.2043E+03    0.3832E+01
    377.4564    0.2063E+03    0.3824E+01
    381.9300    0.2082E+03    0.3816E+01
    386.4917    0.2101E+03    0.3808E+01
    391.1428    0.2119E+03    0.3800E+01
    395.8843    0.2137E+03    0.3791E+01
    400.7174    0.2153E+03    0.3782E+01
    405.6431    0.2169E+03    0.3773E+01
    410.6622    0.2185E+03    0.3763E+01
    415.7756    0.2199E+03    0.3753E+01
    420.9840    0.2212E+03    0.3743E+01
    426.2880    0.2225E+03    0.3732E+01
    431.6880    0.2236E+03    0.3721E+01
    437.1844    0.2247E+03    0.3710E+01
    442.7772    0.2256E+03    0.3698E+01
    448.4663    0.2265E+03    0.3686E+01
    454.2515    0.2272E+03    0.3673E+01
    460.1322    0.2278E+03    0.3660E+01
    466.1077    0.2283E+03    0.3647E+01
    472.1768    0.2287E+03    0.3633E+01
    478.3383    0.2289E+03    0.3618E+01
    484.5905    0.2290E+03    0.3603E+01
    490.9314    0.2290E+03    0.3588E+01
